Reference, Value, Footprint, Datasheet, Supplier, Supplier P/N, Supplier URL, Manufacturer, Manufacturer P/N, Datasheet URL, Description, Unit Cost, Accessory, Supplier URl, Manufacturer URL, NOTE
P5,JTAG,custom_footprints:JTAG,,Digikey,609-4054-ND,http://www.digikey.com/product-detail/en/20021521-00010T1LF/609-4054-ND/2414951,FCI,20021521-00010T1LF,http://portal.fciconnect.com/Comergent//fci/drawing/20021521.pdf,Headers & Wire Housings 10P STRT 4WALL GLDFL ,1.10,,,,
P3,EXT I2C,custom_footprints:MOLEX_HEADER_6POS,,Digikey,WM1344-ND,http://www.digikey.com/product-search/en?keywords=15-91-2065,Molex,15-91-2065,,Headers & Wire Housings 2.54 WIRE/BOARD HDR Right Angle 6 CKT ,4.20,,,http://www.molex.com/molex/products/datasheet.jsp?part=active/0015912065_PCB_HEADERS.xml,
P4,GPIO,Connect:IDC_Header_Straight_16pins,,Digikey,3M11931-ND,http://www.digikey.com/product-search/en?keywords=30316-6002HB,3M,30316-6002HB,http://www.mouser.com/ds/2/1/TS0818-221281.pdf,Headers & Wire Housings 26P STRT 4WALL GLDFL,0.78,,,,
J2,BACKPLANE CONNECTOR,Connect:DB37FD,,Digikey,5237FE-ND,http://www.digikey.com/product-detail/en/171-037-213R011/5237FE-ND/858167,Norcomp Inc,171-037-213R011,,D-Sub Connector Receptacle Female Sockets 37 Position Through Hole Solder,3.88,,,,
R35,100,Resistors_SMD:R_0603_HandSoldering,
R36,100,Resistors_SMD:R_0603_HandSoldering,
P2,CDETECT,custom_footprints:MOLEX_HEADER_2POS,,Digikey,WM1340-ND,http://www.digikey.com/product-search/en?keywords=15-91-2025,Molex,15-91-2025,http://www.mouser.com/ds/2/276/0015912025_PCB_HEADERS-227317.pdf,Headers 2.54 WIRE/BOARD HDR Right Angle 2 CKT,2.61,,,,
J3,RJ12,custom_footprints:MOLEX_RJ11,,Digikey,WM3789CT-ND,http://www.digikey.com/product-detail/en/0855135002/WM3789CT-ND/2421677,Molex LLC,0855135002,http://www.molex.com/pdm_docs/sd/855135002_sd.pdf,CONN MOD JACK 6P6C VERT UNSHLD,1.16,,,,
P1,POWER,custom_footprints:AMPCONN_4POS,,Digikey,A113982-ND,http://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/556881-4/A113982-ND/294122,TE Connectivity AMP Connectors,556881-4,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=556881&DocType=Customer+Drawing&DocLang=English,CONN RCPT 4POS 11.18MM PCB SLDR,8.66,,,,THIS IS THE BOARD HEADER! A MATING PLUG IS ALSO REQ'D!
R12,100,Resistors_SMD:R_0603_HandSoldering,
R21,100,Resistors_SMD:R_0603_HandSoldering,
P6,LDETECT,custom_footprints:MOLEX_HEADER_2POS,,Digikey,WM1340-ND,http://www.digikey.com/product-search/en?keywords=15-91-2025,Molex,15-91-2025,http://www.mouser.com/ds/2/276/0015912025_PCB_HEADERS-227317.pdf,Headers 2.54 WIRE/BOARD HDR Right Angle 2 CKT,2.61,,,,
C30,10u,Capacitors_SMD:C_0805_HandSoldering,,DigiKey,478-5266-1-ND,http://www.digikey.com/product-detail/en/avx-corporation/02016D104KAT2A/478-5266-1-ND/1950933,AVX Corporation,02016D104KAT2A,http://datasheets.avx.com/cx5r.pdf,0.10µF 6.3V Ceramic Capacitor X5R 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
